epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1356.94,0,70.2985,0,0,0,0,0,0,1413.8,0,0.0006639,0.0006639,0.0006639
2,3580.63,0,16.4187,0,0,0,0,0,0,4.40285,0,0.00130422,0.00130422,0.00130422
3,16698.5,0,0.75787,0,0,0,0,0,0,0.04978,0,0.00191814,0.00191814,0.00191814
4,21269,0,0.006,0,0,0,0,0,0,0.00081,0,0.0018812,0.0018812,0.0018812
5,22344.8,0,2e-05,0,0,0,0,0,0,0.1286,0,0.0018416,0.0018416,0.0018416
6,23423.2,0,1e-05,0,0,0,0,0,0,0,0,0.001802,0.001802,0.001802
7,29347.7,0,0,0,0,0,0,0,0,0,0,0.0017624,0.0017624,0.0017624
8,32319.7,0,0,0,0,0,0,0,0,0,0,0.0017228,0.0017228,0.0017228
9,33393.6,0,0,0,0,0,0,0,0,0,0,0.0016832,0.0016832,0.0016832
10,34464.6,0,0,0,0,0,0,0,0,0,0,0.0016436,0.0016436,0.0016436
11,38870.9,0,0,0,0,0,0,0,0,0,0,0.001604,0.001604,0.001604
12,42103.1,0,0,0,0,0,0,0,0,0,0,0.0015644,0.0015644,0.0015644
13,43181.4,0,0,0,0,0,0,0,0,0,0,0.0015248,0.0015248,0.0015248
14,44313.5,0,0,0,0,0,0,0,0,0.00057,0,0.0014852,0.0014852,0.0014852
15,45419.6,0,0,0,0,0,0,0,0,0,0,0.0014456,0.0014456,0.0014456
16,46580.3,0,0,0,0,0,0,0,0,0,0,0.001406,0.001406,0.001406
17,47711.3,0,0,0,0,0,0,0,0,0,0,0.0013664,0.0013664,0.0013664
18,48989.3,0,0,0,0,0,0,0,0,0,0,0.0013268,0.0013268,0.0013268
19,50262.5,0,0,0,0,0,0,0,0,0,0,0.0012872,0.0012872,0.0012872
20,51537.3,0,0,0,0,0,0,0,0,0,0,0.0012476,0.0012476,0.0012476
21,52808.5,0,0,0,0,0,0,0,0,0,0,0.001208,0.001208,0.001208
22,56822.2,0,0,0,0,0,0,0,0,0,0,0.0011684,0.0011684,0.0011684
23,58112.3,0,0,0,0,0,0,0,0,0,0,0.0011288,0.0011288,0.0011288
24,59209,0,0,0,0,0,0,0,0,0,0,0.0010892,0.0010892,0.0010892
25,60324.3,0,0,0,0,0,0,0,0,0,0,0.0010496,0.0010496,0.0010496
26,67366,0,0,0,0,0,0,0,0,0,0,0.00101,0.00101,0.00101
27,79313.8,0,0,0,0,0,0,0,0,0,0,0.0009704,0.0009704,0.0009704
28,81549.2,0,0,0,0,0,0,0,0,0,0,0.0009308,0.0009308,0.0009308
29,82636.1,0,0,0,0,0,0,0,0,0,0,0.0008912,0.0008912,0.0008912
30,83760.5,0,0,0,0,0,0,0,0,0,0,0.0008516,0.0008516,0.0008516
31,86339.8,0,0,0,0,0,0,0,0,0,0,0.000812,0.000812,0.000812
32,90438.1,0,0,0,0,0,0,0,0,0,0,0.0007724,0.0007724,0.0007724
33,91504.5,0,0,0,0,0,0,0,0,0,0,0.0007328,0.0007328,0.0007328
34,92606.5,0,0,0,0,0,0,0,0,0,0,0.0006932,0.0006932,0.0006932
35,95786.8,0,0,0,0,0,0,0,0,0,0,0.0006536,0.0006536,0.0006536
36,108870,0,0,0,0,0,0,0,0,0,0,0.000614,0.000614,0.000614
37,110005,0,0,0,0,0,0,0,0,0,0,0.0005744,0.0005744,0.0005744
38,114547,0,0,0,0,0,0,0,0,0,0,0.0005348,0.0005348,0.0005348
39,115624,0,0,0,0,0,0,0,0,0,0,0.0004952,0.0004952,0.0004952
40,116758,0,0,0,0,0,0,0,0,0,0,0.0004556,0.0004556,0.0004556
41,117915,0,0,0,0,0,0,0,0,0,0,0.000416,0.000416,0.000416
42,120047,0,0,0,0,0,0,0,0,0,0,0.0003764,0.0003764,0.0003764
43,121312,0,0,0,0,0,0,0,0,0,0,0.0003368,0.0003368,0.0003368
44,123524,0,0,0,0,0,0,0,0,0,0,0.0002972,0.0002972,0.0002972
45,137575,0,0,0,0,0,0,0,0,0,0,0.0002576,0.0002576,0.0002576
46,152296,0,0,0,0,0,0,0,0,0,0,0.000218,0.000218,0.000218
47,159365,0,0,0,0,0,0,0,0,0,0,0.0001784,0.0001784,0.0001784
48,161599,0,0,0,0,0,0,0,0,0,0,0.0001388,0.0001388,0.0001388
49,162695,0,0,0,0,0,0,0,0,0,0,9.92e-05,9.92e-05,9.92e-05
50,163808,0,0,0,0,0,0,0,0,0,0,5.96e-05,5.96e-05,5.96e-05
